"filename", "language", "JSON", "XML", "Swift", "C++", "Dart", "YAML", "Markdown", "HTML", "JavaScript", "Properties", "Groovy", "comment", "blank", "total"
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/.github/workflows/dart.yml", "YAML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 3, 11, 70
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/google-services.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/debug/AndroidManifest.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/AndroidManifest.xml", "XML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 51
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/res/values/strings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/res/values/styles.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 9
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/profile/AndroidManifest.xml", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/files/post.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/add_post.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/back.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/cart_with_item.svg", "XML", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/chat.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/logout.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/notification.svg", "XML", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/search.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/setting.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/shopping-bag.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/view-posts.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/view-profile.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/langs/ar-EG.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/langs/en-US.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/firebase.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/.eslintrc.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 37, 124
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 6, 22
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/package-lock.json", "JSON", 2937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2938
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/app/app.dart", "Dart", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 67
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/app/app_bloc_delegate.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/app/routes.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_bloc.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_event.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9, 25
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_state.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_bloc.dart", "Dart", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 10, 122
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_event.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
