Date : 2020-09-25 15:59:53
Directory : /home/mathnoob/Documents/GameExchange/App and Server/GameExchange
Total : 180 files,  13012 codes, 263 comments, 816 blanks, all 14091 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        132 |      8,172 |        112 |        687 |      8,971 |
| JSON       |         14 |      4,221 |         39 |         45 |      4,305 |
| XML        |         19 |        321 |         26 |         19 |        366 |
| Groovy     |          4 |         97 |          3 |         21 |        121 |
| YAML       |          2 |         94 |         71 |         18 |        183 |
| JavaScript |          2 |         69 |         11 |         12 |         92 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| HTML       |          1 |          3 |          0 |          0 |          3 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        180 |     13,012 |        263 |        816 |     14,091 |
| .github                                                                                                                         |          1 |         30 |          0 |          2 |         32 |
| .github/workflows                                                                                                               |          1 |         30 |          0 |          2 |         32 |
| android                                                                                                                         |         13 |        217 |         26 |         34 |        277 |
| android/app                                                                                                                     |          8 |        167 |         25 |         22 |        214 |
| android/app/src                                                                                                                 |          6 |         63 |         22 |         11 |         96 |
| android/app/src/debug                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                            |          4 |         56 |         16 |          8 |         80 |
| android/app/src/main/res                                                                                                        |          3 |         16 |          9 |          4 |         29 |
| android/app/src/main/res/drawable                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                 |          2 |         12 |          2 |          2 |         16 |
| android/app/src/profile                                                                                                         |          1 |          3 |          3 |          2 |          8 |
| android/gradle                                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                          |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                          |         14 |        231 |          2 |          7 |        240 |
| assets/files                                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| assets/icon                                                                                                                     |         11 |        197 |          2 |          6 |        205 |
| assets/langs                                                                                                                    |          2 |         34 |          0 |          0 |         34 |
| functions                                                                                                                       |          4 |      3,026 |         40 |         45 |      3,111 |
| ios                                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios/Runner/Assets.xcassets                                                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                   |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                             |        124 |      7,712 |         84 |        636 |      8,432 |
| lib/bloc                                                                                                                        |         21 |        754 |          0 |        143 |        897 |
| lib/bloc/app                                                                                                                    |          3 |         90 |          0 |          9 |         99 |
| lib/bloc/authentication                                                                                                         |          3 |         70 |          0 |         22 |         92 |
| lib/bloc/chat                                                                                                                   |          3 |        157 |          0 |         26 |        183 |
| lib/bloc/login                                                                                                                  |          3 |         94 |          0 |         25 |        119 |
| lib/bloc/message                                                                                                                |          3 |        134 |          0 |         24 |        158 |
| lib/bloc/post                                                                                                                   |          3 |        154 |          0 |         25 |        179 |
| lib/bloc/theme                                                                                                                  |          3 |         55 |          0 |         12 |         67 |
| lib/config                                                                                                                      |          9 |        432 |         35 |         19 |        486 |
| lib/exceptions                                                                                                                  |          7 |         77 |          0 |         21 |         98 |
| lib/exceptions/type_exceptions                                                                                                  |          6 |         42 |          0 |         18 |         60 |
| lib/model                                                                                                                       |          8 |        180 |          0 |         29 |        209 |
| lib/repository                                                                                                                  |         35 |      1,438 |          7 |        178 |      1,623 |
| lib/repository/authentication                                                                                                   |          3 |         73 |          3 |         13 |         89 |
| lib/repository/cache_manager                                                                                                    |          2 |         31 |          0 |          9 |         40 |
| lib/repository/chatMessage                                                                                                      |          4 |        360 |          1 |         27 |        388 |
| lib/repository/file_manager                                                                                                     |          2 |         33 |          0 |          9 |         42 |
| lib/repository/firebase_manager                                                                                                 |          5 |        156 |          0 |         34 |        190 |
| lib/repository/post                                                                                                             |          2 |        158 |          0 |         13 |        171 |
| lib/repository/product                                                                                                          |          2 |         74 |          1 |         11 |         86 |
| lib/repository/secure_file                                                                                                      |          2 |         30 |          0 |          7 |         37 |
| lib/repository/server                                                                                                           |          2 |         90 |          0 |         11 |        101 |
| lib/repository/server/server_model                                                                                              |          1 |          6 |          0 |          1 |          7 |
| lib/repository/services                                                                                                         |          7 |        300 |          2 |         25 |        327 |
| lib/repository/services/search                                                                                                  |          3 |        168 |          0 |          9 |        177 |
| lib/repository/services/security                                                                                                |          2 |         25 |          0 |          4 |         29 |
| lib/repository/services/userVote                                                                                                |          2 |        107 |          2 |         12 |        121 |
| lib/repository/storge                                                                                                           |          2 |         18 |          0 |          6 |         24 |
| lib/repository/user                                                                                                             |          2 |        115 |          0 |         13 |        128 |
| lib/screen                                                                                                                      |         41 |      4,702 |         42 |        238 |      4,982 |
| lib/screen/add_post                                                                                                             |          2 |        443 |          2 |         17 |        462 |
| lib/screen/add_post/components                                                                                                  |          1 |        404 |          2 |         14 |        420 |
| lib/screen/chat                                                                                                                 |          6 |        733 |          3 |         35 |        771 |
| lib/screen/chat/components                                                                                                      |          4 |        239 |          1 |         15 |        255 |
| lib/screen/details                                                                                                              |          6 |        432 |          5 |         25 |        462 |
| lib/screen/details/components                                                                                                   |          5 |        354 |          5 |         21 |        380 |
| lib/screen/forgetPassword                                                                                                       |          2 |        191 |          0 |         11 |        202 |
| lib/screen/forgetPassword/commponent                                                                                            |          1 |        152 |          0 |          8 |        160 |
| lib/screen/login                                                                                                                |          2 |        428 |          0 |         18 |        446 |
| lib/screen/login/components                                                                                                     |          1 |         11 |          0 |          3 |         14 |
| lib/screen/main                                                                                                                 |          5 |        508 |         15 |         27 |        550 |
| lib/screen/main/components                                                                                                      |          4 |        371 |         15 |         23 |        409 |
| lib/screen/own_details                                                                                                          |          6 |        324 |          5 |         25 |        354 |
| lib/screen/own_details/components                                                                                               |          5 |        258 |          5 |         20 |        283 |
| lib/screen/own_post                                                                                                             |          4 |        341 |         12 |         23 |        376 |
| lib/screen/own_post/components                                                                                                  |          3 |        270 |         12 |         17 |        299 |
| lib/screen/profile                                                                                                              |          1 |        255 |          0 |          8 |        263 |
| lib/screen/profile_setting                                                                                                      |          2 |        319 |          0 |         17 |        336 |
| lib/screen/profile_setting/commponent                                                                                           |          1 |        280 |          0 |         14 |        294 |
| lib/screen/search                                                                                                               |          1 |         85 |          0 |          6 |         91 |
| lib/screen/setting                                                                                                              |          1 |        135 |          0 |          5 |        140 |
| lib/screen/signUp                                                                                                               |          1 |        407 |          0 |         14 |        421 |
| lib/screen/splash                                                                                                               |          1 |         36 |          0 |          3 |         39 |
| lib/screen/terms_and_rule                                                                                                       |          1 |         65 |          0 |          4 |         69 |
| lib/theme                                                                                                                       |          2 |        106 |          0 |          6 |        112 |
| serverSide                                                                                                                      |          4 |      1,031 |         10 |          8 |      1,049 |
| test                                                                                                                            |         10 |        462 |         28 |         51 |        541 |
| test/assets                                                                                                                     |          2 |          2 |          0 |          0 |          2 |
| test/assets/file                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| test/assets/files                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| test/crud_tests                                                                                                                 |          5 |        256 |         17 |         32 |        305 |
| test/firebase_mock                                                                                                              |          2 |        203 |          5 |         18 |        226 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/.github/workflows/dart.yml                                    | YAML       |         30 |          0 |          2 |         32 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/build.gradle                                      | Groovy     |         56 |          3 |         11 |         70 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/google-services.json                              | JSON       |         48 |          0 |          0 |         48 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/debug/AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/AndroidManifest.xml                      | XML        |         40 |          7 |          4 |         51 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/res/drawable/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/res/values/strings.xml                   | XML        |          6 |          0 |          1 |          7 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/main/res/values/styles.xml                    | XML        |          6 |          2 |          1 |          9 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/app/src/profile/AndroidManifest.xml                   | XML        |          3 |          3 |          2 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/gradle.properties                                     | Properties |          4 |          0 |          1 |          5 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/gradle/wrapper/gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/settings.gradle                                       | Groovy     |         12 |          0 |          4 |         16 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/android/settings_aar.gradle                                   | Groovy     |          1 |          0 |          1 |          2 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/files/post.json                                        | JSON       |          0 |          0 |          1 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/add_post.svg                                      | XML        |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/back.svg                                          | XML        |          3 |          0 |          1 |          4 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/cart_with_item.svg                                | XML        |         90 |          1 |          1 |         92 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/chat.svg                                          | XML        |          3 |          0 |          1 |          4 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/logout.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/notification.svg                                  | XML        |         90 |          1 |          1 |         92 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/search.svg                                        | XML        |          3 |          0 |          1 |          4 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/setting.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/shopping-bag.svg                                  | XML        |          3 |          0 |          1 |          4 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/view-posts.svg                                    | XML        |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/icon/view-profile.svg                                  | XML        |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/langs/ar-EG.json                                       | JSON       |         17 |          0 |          0 |         17 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/assets/langs/en-US.json                                       | JSON       |         17 |          0 |          0 |         17 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/firebase.json                                                 | JSON       |          7 |          0 |          1 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/.eslintrc.json                                      | JSON       |         48 |         39 |         37 |        124 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/index.js                                            | JavaScript |         15 |          1 |          6 |         22 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/package-lock.json                                   | JSON       |      2,937 |          0 |          1 |      2,938 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/functions/package.json                                        | JSON       |         26 |          0 |          1 |         27 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON       |         23 |          0 |          1 |         24 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown   |          3 |          0 |          2 |          5 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Base.lproj/Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/ios/Runner/Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/app/app.dart                                         | Dart       |         64 |          0 |          3 |         67 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/app/app_bloc_delegate.dart                           | Dart       |         18 |          0 |          4 |         22 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/app/routes.dart                                      | Dart       |          8 |          0 |          2 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_bloc.dart              | Dart       |         42 |          0 |          6 |         48 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_event.dart             | Dart       |         16 |          0 |          9 |         25 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_state.dart             | Dart       |         12 |          0 |          7 |         19 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_bloc.dart                                  | Dart       |        112 |          0 |         10 |        122 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_event.dart                                 | Dart       |         22 |          0 |          8 |         30 |
